image,body_system,medical_task,question_type,problem,true_label,qwen3_llm,qwen3_llm_finetuned,qwen3_llm_ensemble,qwen3_vlm,qwen3_vlm_finetuned,qwen25_vlm,qwen25_vlm_finetuned
MM-1899-d.jpeg,Integumentary,Treatment,Understanding,"Which type of hand injury is best managed using a volar advancement (Moberg) flap closure?
Answer Choices: (A) Figure B (B) Figure C (C) Figure E (D) Figure D (E) Figure A",D,D,A,A,E,E,D,C
MM-179-a.jpeg,Integumentary,Diagnosis,Understanding,"Based on the clinical presentation, what condition represents the most probable diagnosis?
Answer Choices: (A) Graves"" disease (B) Iron deficiency (C) Pseudohypoparathyroidism (D) End-stage renal disease (E) Sarcoidosis",B,A,C,C,B,B,C,C
MM-789-a.jpeg,Integumentary,Diagnosis,Reasoning,"A 12-year-old boy is evaluated in the primary care clinic for numerous crusting and ulcerated skin lesions on his face, arms, and legs. His medical history includes surgical resection of a medulloblastoma at age six and removal of two odontogenic keratocysts from his jaw at age ten. He is not currently taking any medications. His father has a *PTCH1* gene mutation. Vital signs are as follows: temperature 98.9°F, blood pressure 108/64 mmHg, pulse 90/min, and respiratory rate 16/min. Skin examination reveals over forty scattered lesions resembling the image provided, along with several 1-mm erythematous depressions on the palms bilaterally. Recent brain imaging showed calcification of the falx cerebri without evidence of tumor recurrence. Which histopathologic finding is most likely to be observed on biopsy of this patient’s skin lesions?
Answer Choices: (A) Keratin-filled horn cysts (B) Palisading peripheral nuclei (C) Pseudoepitheliomatous hyperplasia (D) Storiform fibroblast arrangement (E) Full epidermal keratinocytic dysplasia",B,C,C,C,C,E,B,B
MM-184-a.jpeg,Integumentary,Diagnosis,Understanding,"What is the diagnosis?
Answer Choices: (A) Leukemia (B) Lichen planus (C) Psoriasis (D) Pompe""s disease (E) Hypercholesterolemia",E,B,D,C,C,C,D,B
MM-613-a.jpeg,Integumentary,Diagnosis,Understanding,"A male patient, aged 40, with comorbid chronic alcohol use disorder and HIV infection, seeks emergency care due to a persistent skin ulcer on his lower extremity that has not healed for several months. The ulcer is characterized by a surrounding sinus tract that discharges purulent material. Upon examination of the provided biopsy specimen, what is the most probable diagnosis?
Answer Choices: (A) Staphylococcus aureus infection (B) Squamous cell carcinoma (C) Sporotrichosis (D) Human herpesvirus 8 infection (E) Atypical mycobacterial infection",A,D,C,C,C,C,D,E
MM-1388-a.jpeg,Integumentary,Diagnosis,Understanding,"What is the diagnosis?
Answer Choices: (A) Anthrax (B) Tinea (C) Cellulitis (D) Psoriasis (E) Lichen planus",B,C,E,A,D,D,B,B
MM-1538-a.jpeg,Integumentary,Diagnosis,Understanding,"What is the diagnosis?
Answer Choices: (A) Abscess (B) Bursitis (C) Baker""s cyst (D) Gumma (E) Septic arthritis",A,C,C,C,C,C,B,B
MM-685-a.jpeg,Integumentary,Diagnosis,Understanding,"What is the most probable diagnosis for a 19-month-old girl presenting with a 1-week history of an ascending erythematous rash?
Answer Choices: (A) Superficial thrombophlebitis (B) Cellulitis (C) Hand, foot, and mouth disease (D) Herpes zoster (E) Lymphadenitis",D,C,C,C,C,C,B,B
MM-488-a.jpeg,Integumentary,Treatment,Reasoning,"A 57-year-old male presents with a 6-month history of a foreign body sensation in his eyes, describing it as feeling like sand, with gradual worsening. He denies recent trauma, eye pain, or redness but occasionally struggles to focus on objects in his far peripheral vision. He works outdoors as a postal worker and has well-controlled hypertension managed with enalapril. His vital signs are normal. Ocular examination reveals findings as shown in the photograph, with equal and reactive pupils and normal optic fundi. The rest of his physical examination is unremarkable. In addition to recommending the use of sunglasses, what is the most appropriate treatment for this condition?
Answer Choices: (A) Reassurance and artificial tears (B) VEGF inhibitor therapy (C) Topical antibiotic therapy (D) Surgical excision (E) Laser photocoagulation",D,A,A,A,A,A,A,A
MM-613-b.jpeg,Integumentary,Diagnosis,Understanding,"A male patient, aged 40, with comorbid chronic alcohol use disorder and HIV infection, seeks emergency care due to a persistent skin ulcer on his lower extremity that has not healed for several months. The ulcer is characterized by a surrounding sinus tract that discharges purulent material. Upon examination of the provided biopsy specimen, what is the most probable diagnosis?
Answer Choices: (A) Staphylococcus aureus infection (B) Squamous cell carcinoma (C) Sporotrichosis (D) Human herpesvirus 8 infection (E) Atypical mycobacterial infection",A,D,C,C,C,C,D,E
